skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
mean_skew	(-Inf,-1.5)	pELS	4	all	3	174	271223115	11777645	1.8998265123253195	0.7289080554167015	7.050382781535465	0.2592266328310973	0.9258676810638513	-0.45619125065082855	2.8177015868776123
mean_skew	(-Inf,-1.5)	pELS	5	all	3	186	271223115	11777645	2.030101863512746	0.779792487603417	7.5285043177217315	0.20139702029937148	1.0215521186901075	-0.3588378387790276	2.91236327422828
mean_skew	(-Inf,-1.5)	pELS	6	all	3	443	271223115	11777645	4.8200924938774445	1.8693763182097172	17.774005269722533	7.467627737492117e-5	2.269060830931997	0.9025570226760624	4.151696915908122
mean_skew	[-0.05,0.05)	Other cCREs	0	all	410257	9777929	271223115	11777645	1.0362632716637201	1.0329885083949129	1.0395877372692468	6.233641788887495e-108	0.05139057876886458	0.0468242048574859	0.056011521334076074
mean_skew	[-0.05,0.05)	Other cCREs	1	all	12410	291158	271223115	11777645	1.018741180440111	1.0005932865161322	1.0372865681515853	0.04305542683473556	0.02678756953719535	8.556777087185177e-4	0.05281451839153707
mean_skew	[-0.05,0.05)	Other cCREs	2	all	1994	47640	271223115	11777645	1.0369852026429467	0.9915271894138723	1.085047416674339	0.11304743931290122	0.05239530762659427	-0.012275760663466072	0.11775808995656452
mean_skew	[-0.05,0.05)	Other cCREs	3	all	1203	27696	271223115	11777645	0.998936822287255	0.9428531069138931	1.0591372286629406	0.9647582737407535	-0.0015346571650429767	-0.08489507312203065	0.08288952633233797
mean_skew	[-0.05,0.05)	Other cCREs	4	all	862	20497	271223115	11777645	1.0314152582584946	0.9634269035061106	1.105384410647551	0.3822979748839769	0.04462529334032142	-0.05375288342571391	0.14454817132848735
mean_skew	[-0.05,0.05)	Other cCREs	5	all	674	15261	271223115	11777645	0.9818327450740704	0.9089320898327872	1.0620552106021435	0.6340824321046407	-0.026450812102532348	-0.1377555863000882	0.08685876613409808
mean_skew	[-0.05,0.05)	Other cCREs	6	all	821	19472	271223115	11777645	1.028711917626377	0.9593046632548973	1.1044243224327845	0.4393295018135312	0.04083902382453725	-0.05993902483271978	0.14329456546416378
mean_skew	[-0.05,0.05)	PLS	0	all	5299	129611	271223115	11777645	1.0619727865526627	1.0331854110831946	1.091770556324555	1.5415572826189284e-5	0.08674679701913832	0.04709917738531019	0.12666969505524142
mean_skew	[-0.05,0.05)	PLS	1	all	1971	51813	271223115	11777645	1.1409923225224232	1.0907891418955298	1.1940296377577924	4.8277208758280204e-9	0.1902890840927723	0.1253722443358913	0.255838647084729
mean_skew	[-0.05,0.05)	PLS	2	all	1059	31802	271223115	11777645	1.3028884591036365	1.2254776658971092	1.3863533070578045	1.1502239426717817e-18	0.3817135793887485	0.2933441915951278	0.47129496987431285
mean_skew	[-0.05,0.05)	PLS	3	all	787	24919	271223115	11777645	1.3733026173492526	1.2792070382200873	1.4760164159903126	3.7929567644195e-20	0.45764956899791176	0.35524978168673227	0.5617087668834813
mean_skew	[-0.05,0.05)	PLS	4	all	753	22807	271223115	11777645	1.3135838855577806	1.2215489414202496	1.4142891580689871	1.675725635091867e-14	0.393508334018493	0.2887116664130464	0.5000771160903003
mean_skew	[-0.05,0.05)	PLS	5	all	783	26701	271223115	11777645	1.4790257326378766	1.3775203149755282	1.5898945770155346	1.6022433301132506e-30	0.5646471531983736	0.4620735950928664	0.6689311062270626
mean_skew	[-0.05,0.05)	PLS	6	all	3746	123221	271223115	11777645	1.4282283282543433	1.3824641662153494	1.4758348779983697	1.7284937578589476e-114	0.5142266388263276	0.4672420859620382	0.5615313162364433
mean_skew	[-0.05,0.05)	dELS	0	all	799440	20237885	271223115	11777645	1.1073020724823064	1.104717904157326	1.1098739424669364	0	0.14704884364051388	0.14367801646653663	0.15039582711119867
mean_skew	[-0.05,0.05)	dELS	1	all	97841	2482418	271223115	11777645	1.1026870977969236	1.0956223683296598	1.1097593519708986	8.268916995321055e-202	0.14102346500075327	0.13175062565469683	0.15024686634283402
