skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[0.05,0.2)	PLS	LOW_FREQ	6883	6872	1344.944	1101.44249	6878	126.67500074580398	31849.252996902665	658	2399	2472	0.018417417962460596
mean_skew	[0.05,0.2)	PLS	RARE	18447	18173	3866.334	3394.744146	18422	1480.1149982461934	97785.03356724036	2058	6541	6813	0.08034496787787393
mean_skew	[0.05,0.2)	PLS	SINGLETON	167572	167447	23122.276	9120.133602	167461	59600.68599740172	863091.8120798592	22401	57533	61697	0.3559078591278072
mean_skew	[0.05,0.2)	PLS	ULTRARARE	115203	114689	21712.892	15766.668992	115110	26808.655966199596	622766.7573998078	14635	40281	43175	0.2328959774667674
mean_skew	[0.05,0.2)	dELS	COMMON	240218	240104	55594.943	61268.017929	239824	-91422.49300916935	601642.9489989917	6616	23398	29994	-0.3812066057157305
mean_skew	[0.05,0.2)	dELS	LOW_FREQ	259554	259435	71323.6	91263.37442	259106	-48360.45000121126	633992.8501910511	9823	19990	31924	-0.18664349726062407
mean_skew	[0.05,0.2)	dELS	RARE	648285	647993	195478.695	267446.391425	647059	-111319.81605905446	1637712.8066265243	26230	50577	80144	-0.17203966880771995
mean_skew	[0.05,0.2)	dELS	SINGLETON	6015778	6014688	798209.247	360360.197775	6007997	52552.06861979168	13883375.567851758	290724	458403	716954	0.008747019783763488
mean_skew	[0.05,0.2)	dELS	ULTRARARE	3986846	3985896	954963.319	1060635.903949	3980843	-427272.0172490858	9880600.780560968	175824	308096	482796	-0.1073320443054614
mean_skew	[0.05,0.2)	non-cCRE	COMMON	1044025	1043050	238935.216	276380.00769	1032322	-469229.35578818	1833057.4160756203	8682	36476	5916	-0.4545377854857109
mean_skew	[0.05,0.2)	non-cCRE	LOW_FREQ	1138841	1137622	303024.095	407399.806539	1121973	-288724.8287328201	1594917.3348886352	12171	31071	6495	-0.2573366994863692
mean_skew	[0.05,0.2)	non-cCRE	RARE	2786416	2783216	816178.3369999999	1178423.061235	2742813	-670815.7633473098	3882218.044756549	31323	77880	16144	-0.24457218313727905
mean_skew	[0.05,0.2)	non-cCRE	SINGLETON	24914884	24905531	3202999.718999992	1236353.968051001	24647585	-2583077.8220000765	28513963.84296717	336562	653614	143207	-0.10480044280200582
mean_skew	[0.05,0.2)	non-cCRE	ULTRARARE	16639589	16629905	3646645.891999996	3873214.337434002	16418249	-3056445.8017282803	21490182.523798116	202808	448724	97103	-0.18616149637688406
mean_skew	[0.05,0.2)	pELS	COMMON	33986	33959	6799.976	6280.618864	33920	-11373.232007624703	90492.18215026028	1085	8908	5591	-0.335295754941766
mean_skew	[0.05,0.2)	pELS	LOW_FREQ	38446	38411	8907.86	9459.872696	38361	-5069.153996512877	102829.4322421754	1740	8751	6472	-0.13214342682706073
mean_skew	[0.05,0.2)	pELS	RARE	97272	97118	24280.454	27663.47195	97098	-9465.00901283429	275018.30753611156	4911	22584	16480	-0.09747892863740026
mean_skew	[0.05,0.2)	pELS	SINGLETON	921517	921081	121571.258	50851.36303	920769	77465.28204393876	2391846.7157661836	56275	213856	154592	0.08413107092434559
mean_skew	[0.05,0.2)	pELS	ULTRARARE	609522	608713	127756.338	118816.902858	608805	-10553.65002256678	1696467.859210618	34571	141832	103256	-0.017335025209331036
mean_skew	[0.2,0.5)	PLS	COMMON	1610	1606	277.468	220.752354	1607	-304.9529990844895	6520.60125259968	112	672	622	-0.18976540079930895
mean_skew	[0.2,0.5)	PLS	LOW_FREQ	1971	1968	413.518	383.234316	1969	266.4679991157028	10585.227710062049	246	725	762	0.1353316399775027
mean_skew	[0.2,0.5)	PLS	RARE	5237	5212	1126.691	1056.212561	5232	1793.517995461007	32529.765454724955	751	1920	2216	0.3427977820070732
mean_skew	[0.2,0.5)	PLS	SINGLETON	48107	48081	6577.568	2596.968946	48080	30323.251001483753	300048.26227043837	8457	17390	20107	0.6306832571024075
mean_skew	[0.2,0.5)	PLS	ULTRARARE	33201	33117	6307.455	4743.705009	33177	17174.779976051545	206516.2180154324	5513	11999	14083	0.5176712775733654
mean_skew	[0.2,0.5)	dELS	COMMON	44386	44372	11965.03	15991.386608	44306	-19973.10797892674	115340.48337641722	1133	4993	7636	-0.45079916893709066
mean_skew	[0.2,0.5)	dELS	LOW_FREQ	46324	46306	15704.421	24419.329079	46226	-10015.331004519016	114539.18205891	1721	4164	7394	-0.2166601264335875
mean_skew	[0.2,0.5)	dELS	RARE	116778	116717	43690.992	70992.477348	116550	-22225.84100532765	301082.7487825303	4663	10474	18937	-0.19069790652361776
mean_skew	[0.2,0.5)	dELS	SINGLETON	1052828	1052550	141339.214	77361.565104	1051250	9037.982971042744	2459262.563357267	51793	90754	165702	0.008597367867817117
mean_skew	[0.2,0.5)	dELS	ULTRARARE	705379	705159	198026.233	267944.613137	704136	-77286.00098249316	1764917.716690868	31834	62667	113720	-0.10976004774999881
mean_skew	[0.2,0.5)	non-cCRE	COMMON	129310	129176	35777.737	52037.356667	128091	-70617.26796295238	255622.83078259852	940	5804	1251	-0.5513054622335088
mean_skew	[0.2,0.5)	non-cCRE	LOW_FREQ	139895	139662	47130.396	76981.613256	138071	-41218.828953019474	202628.76740247765	1333	5031	1291	-0.29853357296622374
mean_skew	[0.2,0.5)	non-cCRE	RARE	341375	340841	129089.119	225128.719841	336736	-95783.44791931812	500101.10680661735	3633	12521	3361	-0.28444671172466895
mean_skew	[0.2,0.5)	non-cCRE	SINGLETON	2891549	2890006	371291.488	183873.647154	2864835	-321195.4743445406	3378763.2180889603	38367	98614	28606	-0.11211657018450998
mean_skew	[0.2,0.5)	non-cCRE	ULTRARARE	1967688	1965978	514027.436	704108.492614	1945301	-398832.2494961257	2619290.824175847	23313	69513	19733	-0.20502341257015017
mean_skew	[0.2,0.5)	pELS	COMMON	6851	6843	1470.749	1546.056569	6838	-2015.330999001977	19472.64726814456	277	2072	1568	-0.29472521190435463
mean_skew	[0.2,0.5)	pELS	LOW_FREQ	7670	7659	1996.352	2500.198942	7646	-174.64400260616054	21370.344557661672	455	1889	1644	-0.022841224510353197
mean_skew	[0.2,0.5)	pELS	RARE	19619	19586	5532.966	7256.70014	19570	-219.27599821239644	63892.46891636929	1305	5054	4589	-0.011204700981726951
