skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-1.5,-1.0)	PLS	3	373	3204935	25747115	11.638801438941359	4.507928110984862	42.96911263080473	3.5408705923838517	2.1724645086883494	5.425228078739816
HepG2_skew	[-1.5,-1.0)	dELS	159	4454	3204935	25747115	3.4663483736530663	2.9601150622055603	4.084285100334734	1.793416654984206	1.5656532557349816	2.0300835759324274
HepG2_skew	[-1.5,-1.0)	non-cCRE	223	5401	3204935	25747115	3.002329755891698	2.626277956772854	3.4472873958453567	1.586082441669727	1.3930196144929452	1.7854615793193496
HepG2_skew	[-1.5,-1.0)	pELS	31	776	3204935	25747115	3.0225316857872473	2.1230127285431317	4.450601518436945	1.5957574636062495	1.086113020961145	2.1540003358586586
HepG2_skew	[0.05,0.2)	Other cCREs	23732	215155	3204935	25747115	1.1295781535409646	1.1144224882934017	1.1448676466659284	0.1757840917361677	0.156296275957421	0.19518082405541756
HepG2_skew	[0.05,0.2)	PLS	1433	18533	3204935	25747115	1.6092705973738168	1.5250027493777247	1.6992550173229524	0.6864069343059995	0.6088118436657098	0.764902382609475
HepG2_skew	[0.05,0.2)	dELS	52054	559059	3204935	25747115	1.3443392036591169	1.3322288358065153	1.3565695396492374	0.42689720485258975	0.41384191418669536	0.439963004078068
HepG2_skew	[0.05,0.2)	non-cCRE	316875	2554555	3204935	25747115	1.0038845527476181	1	1.007803456133781	0.005593368138191791	0	0.01121430896794845
HepG2_skew	[0.05,0.2)	pELS	8968	98865	3204935	25747115	1.3735595759422166	1.344109638771233	1.4037949470475022	0.4579194863528993	0.4266508232805173	0.4893322159255476
HepG2_skew	[0.2,0.5)	Other cCREs	2095	34245	3204935	25747115	2.035181066597279	1.9472844502444158	2.128037823219581	1.0251571543250841	0.9614636416250836	1.0895237931729294
HepG2_skew	[0.2,0.5)	PLS	254	5097	3204935	25747115	2.4888700022977064	2.19424719585121	2.833592547647301	1.3154908779934031	1.1337260636352262	1.5026323229173082
HepG2_skew	[0.2,0.5)	dELS	5358	101572	3204935	25747115	2.3646974885478524	2.3006354661434774	2.430959475016139	1.2416556340143126	1.2020324077906226	1.281525843312934
HepG2_skew	[0.2,0.5)	non-cCRE	17592	291649	3204935	25747115	2.0757234032140985	2.0442439984996903	2.107690665963104	1.0536142127723043	1.031567404894215	1.0756631461838408
HepG2_skew	[0.2,0.5)	pELS	980	20116	3204935	25747115	2.5538290883417787	2.3951346282026718	2.7255854777421518	1.3526619778000877	1.2601067507345611	1.446566165709065
HepG2_skew	[0.5,1.0)	Other cCREs	255	5136	3204935	25747115	2.4981164787636976	2.203017051734683	2.8433390420158258	1.3208407465283551	1.1394806617922504	1.507586137380318
HepG2_skew	[0.5,1.0)	PLS	30	931	3204935	25747115	3.7424562340412484	2.618396866443105	5.539877866933167	1.9039854448606197	1.3886837809563215	2.4698541707307613
HepG2_skew	[0.5,1.0)	dELS	734	17069	3204935	25747115	2.892182337747706	2.68615672716511	3.1178596558952463	1.532158509921107	1.425543483062983	1.6405559895171442
HepG2_skew	[0.5,1.0)	non-cCRE	1627	35589	3204935	25747115	2.7236089794459395	2.591372979048839	2.8641636099771066	1.445519594720372	1.3737166790834126	1.5181139062058118
HepG2_skew	[0.5,1.0)	pELS	129	3601	3204935	25747115	3.449328164627824	2.8951601507762676	4.141451835404211	1.7863153914717549	1.5336431555859	2.0501366103717427
HepG2_skew	[1.0,1.5)	Other cCREs	40	844	3204935	25747115	2.5655037658829194	1.87505227254432	3.601394559895583	1.359242143251654	0.9069308154961303	1.848555666293497
HepG2_skew	[1.0,1.5)	PLS	5	122	3204935	25747115	2.5517976376073066	1.1394024919429335	7.088451753851104	1.3515139251858233	0.18827746658694153	2.8254705511660894
HepG2_skew	[1.0,1.5)	dELS	161	2835	3204935	25747115	2.179256045996655	1.8595181111732744	2.5690101262947564	1.1238357120977562	0.8949287994544035	1.361212576936447
HepG2_skew	[1.0,1.5)	non-cCRE	275	5306	3204935	25747115	2.393774639963708	2.1205506540497256	2.711702362602194	1.2592873372811435	1.0844389453128027	1.4391988364526924
HepG2_skew	[1.0,1.5)	pELS	21	655	3204935	25747115	3.7117629820571474	2.43069858984551	5.964085444160979	1.8921045888253687	1.2813710081775755	2.576300926465135
