skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-0.05,0.05)	PLS	Insertion	1 bp	947	7906	3204935	25747115	1.0382453318322562	0.9704694257297168	1.111761919227531	0.05414738511922673	-0.043245332791218935	0.15284787194219507
HepG2_skew	[-0.05,0.05)	PLS	Insertion	2-4 bp	825	4127	3204935	25747115	0.6220297982805805	0.5771021879516218	0.6710927833803414	-0.6849444007020761	-0.7931012942179081	-0.5754158517572132
HepG2_skew	[-0.05,0.05)	PLS	Insertion	5-9 bp	309	2267	3204935	25747115	0.9107134764186879	0.8084123072423863	1.0287759494258448	-0.13493086212075167	-0.30683680946065695	0.04092882105839755
HepG2_skew	[-0.05,0.05)	PLS	Insertion	10+ bp	117	1430	3204935	25747115	1.5095813162212512	1.2505051509858855	1.8371594499569481	0.5941484722204757	0.3225110001710121	0.8774768456540556
HepG2_skew	[-0.05,0.05)	pELS	Deletion	1 bp	6630	88416	3204935	25747115	1.6620415363156342	1.6210319802042183	1.7043160420202788	0.7329564371550616	0.6969125530558989	0.7691928883675723
HepG2_skew	[-0.05,0.05)	pELS	Deletion	2-4 bp	7284	79762	3204935	25747115	1.3640215502465547	1.3316419080251793	1.3973597787643632	0.44786643775521845	0.4132061792771424	0.4827035198263255
HepG2_skew	[-0.05,0.05)	pELS	Deletion	5-9 bp	1948	17227	3204935	25747115	1.1003860134314332	1.0499408492086062	1.1537766854829314	0.13800970736095475	0.07030805269408634	0.20636401607791174
HepG2_skew	[-0.05,0.05)	pELS	Deletion	10+ bp	664	6743	3204935	25747115	1.2624049926846168	1.165585680213834	1.3691551775394446	0.33617481618889344	0.22105505841469328	0.4532859682754384
HepG2_skew	[-0.05,0.05)	pELS	Insertion	1 bp	8009	56799	3204935	25747115	0.8824414140246729	0.861979020184729	0.9034302195289459	-0.18042759497576955	-0.2142753390808649	-0.14651492249407208
HepG2_skew	[-0.05,0.05)	pELS	Insertion	2-4 bp	7827	29993	3204935	25747115	0.4763398627494441	0.4646310442632888	0.4884025243144155	-1.069936808447649	-1.1058425440371784	-1.033857437955827
HepG2_skew	[-0.05,0.05)	pELS	Insertion	5-9 bp	2245	11002	3204935	25747115	0.6096433764444363	0.5825465585150138	0.6382148065574075	-0.7139625398990354	-0.7795547368724326	-0.647886015415936
HepG2_skew	[-0.05,0.05)	pELS	Insertion	10+ bp	659	5256	3204935	25747115	0.9914800060980302	0.9142031965255991	1.0766692988794422	-0.01234441511509386	-0.12941323153109857	0.10657519126523518
