skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-0.2,-0.05)	pELS	Deletion	4909	63389	3204935	25747115	1.6085503093692268	1.562454236957708	1.6563707956426135	0.6857610587400771	0.6438139350028662	0.7280256711185417
HepG2_skew	[-0.2,-0.05)	pELS	Insertion	3308	36694	3204935	25747115	1.380929899794784	1.332647113382387	1.4313852283748107	0.4656400858629429	0.4142948035525694	0.5174119965037899
HepG2_skew	[-0.2,-0.05)	dELS	Deletion	30999	413938	3204935	25747115	1.67294984044256	1.6537004766840422	1.6925191682220908	0.7423941901284418	0.7256979528080238	0.7591721727913259
HepG2_skew	[-0.2,-0.05)	dELS	Insertion	18123	196924	3204935	25747115	1.3552178218389557	1.3346650572392937	1.3761864801545904	0.4385247521186556	0.41647773375672914	0.46067597568368984
HepG2_skew	[-0.2,-0.05)	non-cCRE	Deletion	193520	1977129	3204935	25747115	1.2943401971523008	1.2881656426076395	1.3005803984367996	0.3722168570825327	0.3653181186105232	0.379155585625296
HepG2_skew	[-0.2,-0.05)	non-cCRE	Insertion	107111	874633	3204935	25747115	1.0170123753241764	1.010466032989873	1.0235844772148697	0.02433723446600582	0.015020826061344455	0.03363017400725349
HepG2_skew	[-0.2,-0.05)	Other cCREs	Deletion	13663	156132	3204935	25747115	1.4249305041735567	1.4002184743034056	1.4502201938297943	0.5108915587657491	0.48565194660118394	0.5362719681217208
HepG2_skew	[-0.2,-0.05)	Other cCREs	Insertion	8702	75788	3204935	25747115	1.0842537815351143	1.0603937476499434	1.1087220922788041	0.11670247487493124	0.08460006884759706	0.14889779080576152
HepG2_skew	[-0.05,0.05)	PLS	Deletion	1801	22554	3204935	25747115	1.5585298363957885	1.4854803749134975	1.636048673445268	0.6401857740895021	0.5709295454614466	0.7102156699749813
HepG2_skew	[-0.05,0.05)	PLS	Insertion	2198	15730	3204935	25747115	0.8904259739103385	0.8514790898616487	0.931501288225948	-0.16743241788011656	-0.2319569934313569	-0.10237033053429632
HepG2_skew	[-0.05,0.05)	pELS	Deletion	16526	192148	3204935	25747115	1.4505835973002696	1.4276094048112304	1.4740291268085508	0.5366334406136161	0.5136013107233265	0.5597650323618035
HepG2_skew	[-0.05,0.05)	pELS	Insertion	18740	103050	3204935	25747115	0.6831991032963797	0.6725927760626998	0.6939508804411468	-0.5496220134750878	-0.5721948111083355	-0.5270945459914526
HepG2_skew	[-0.05,0.05)	dELS	Deletion	106957	1286719	3204935	25747115	1.523649432705025	1.5140742419392565	1.5334010693250688	0.6075310000245923	0.5984359489508182	0.6167350910273783
HepG2_skew	[-0.05,0.05)	dELS	Insertion	115988	629886	3204935	25747115	0.6678618832247148	0.6636057106539864	0.6721438940268077	-0.5823783170223306	-0.5916017934387683	-0.5731579735260539
HepG2_skew	[-0.05,0.05)	non-cCRE	Deletion	948063	9634620	3204935	25747115	1.4234454713732125	1.4198270489813587	1.4270703166461034	0.5093872281091748	0.5057152038333338	0.5130564230948965
HepG2_skew	[-0.05,0.05)	non-cCRE	Insertion	1028617	4678677	3204935	25747115	0.46984753355088243	0.4686334448673961	0.4710596771542478	-1.0897354195339612	-1.093468176489677	-1.0860182527124929
HepG2_skew	[-0.05,0.05)	Other cCREs	Deletion	60412	577211	3204935	25747115	1.1936201542633467	1.1835984073002042	1.2038417933265035	0.2553438008015523	0.2431796602946553	0.2676458082269056
HepG2_skew	[-0.05,0.05)	Other cCREs	Insertion	61379	284584	3204935	25747115	0.5724081816543585	0.567369792017795	0.5774896015867556	-0.8048838016700706	-0.8176387544024647	-0.7921331256301519
HepG2_skew	[0.05,0.2)	PLS	Deletion	647	11863	3204935	25747115	2.2796051473533114	2.106117292490674	2.470935852975317	1.1887839554043158	1.0745857842186026	1.3050575578963026
HepG2_skew	[0.05,0.2)	PLS	Insertion	786	6670	3204935	25747115	1.0551508109876042	0.9798258658218377	1.137488335588771	0.07744921572337955	-0.02940271794271394	0.18585175122384626
HepG2_skew	[0.05,0.2)	pELS	Deletion	3583	64773	3204935	25747115	2.2528481664453457	2.1782806971783057	2.330670203208707	1.1717500845907691	1.123189874318386	1.2207448732539938
HepG2_skew	[0.05,0.2)	pELS	Insertion	5385	34092	3204935	25747115	0.7876532986160792	0.7652904117507268	0.8107934590640065	-0.34436735661965756	-0.3859207704986977	-0.30259364472831335
HepG2_skew	[0.05,0.2)	dELS	Deletion	19733	364209	3204935	25747115	2.3159699142661423	2.283008431360511	2.349551275318002	1.2116165120400333	1.19093618757818	1.2323852526676538
HepG2_skew	[0.05,0.2)	dELS	Insertion	32321	194850	3204935	25747115	0.7485029647248901	0.7396829165831399	0.7574021346074827	-0.4179200642610841	-0.4350211386169736	-0.40086860767177684
HepG2_skew	[0.05,0.2)	non-cCRE	Deletion	111037	1541395	3204935	25747115	1.774308836976924	1.7632604900971103	1.78533021635412	0.8272571476298605	0.8182456227071628	0.8361909411652763
HepG2_skew	[0.05,0.2)	non-cCRE	Insertion	205838	1013160	3204935	25747115	0.5968279189449915	0.5939034707958041	0.5997489495109144	-0.7446130700492732	-0.751699631068337	-0.7375693693160832
HepG2_skew	[0.05,0.2)	Other cCREs	Deletion	9868	139291	3204935	25747115	1.761003194479683	1.7254016751780412	1.7975902308295177	0.8163975262365925	0.7869322617915023	0.8460641891920369
HepG2_skew	[0.05,0.2)	Other cCREs	Insertion	13864	75864	3204935	25747115	0.6801636814432374	0.6679359396081439	0.6926402405533841	-0.5560461220680321	-0.5822183515314419	-0.5298218881775729
HepG2_skew	[0.2,0.5)	PLS	Deletion	151	3226	3204935	25747115	2.642897452993746	2.2455864793283524	3.130560931436186	1.4021204480867357	1.1670922825253038	1.6464211812781098
HepG2_skew	[0.2,0.5)	PLS	Insertion	103	1871	3204935	25747115	2.2406867276555404	1.8384969098386528	2.7567603749459844	1.1639409585089318	0.8785267516490701	1.4629738698502763
HepG2_skew	[0.2,0.5)	pELS	Deletion	579	14299	3204935	25747115	3.070165359208909	2.8255202991672155	3.341585772681027	1.6183163612912332	1.4985165538684453	1.740532906128838
